; Constellation figure definitions for SkyMap Pro 8.
;
; Taken from the constellation maps from Antonín Rükl from
; "Souhvezdí", published by Artia, Prague in 1971 and from second book
; with unknown original title (spanish translated title is "Estrellas y
; Planetas") published 1988 by Artia, Prague in 1988.
;
; Prepared for SkyMap Pro 8 by Ben Siemerink in December 2001.
;
; Each line in this file has the format:
;   Data    Command
;
; Data is a Tycho catalog number, if it refers to a star, or
; 0 for a command. The catalog number has the form:
;
;   ZZZZNNNNNP
;
; where:
;   ZZZZ    Tycho zone.
;   NNNNN   Star number within the zone.
;   P       Proximity flag.
;
; Commands are:
;   0   Move to "data"
;   1   Draw from previous position to "data"
;   2   End of this constellation figure
;   3   End of file
;   4   Start of constellation "data".  Data is constellation index.
;   5   Draw a dotted line from previous position to "data"
;

; Andromeda

0000000000 2	end

; Musca

9228030491 0	move to alpha
9228030471 1	draw to beta
9249023801 1	draw to delta
9236029071 1	draw to gamma
9228030491 1	draw to alpha
9227027051 1	draw to epsilon
8985030461 1	draw to mu
0000000000 2	end

; Norma

8310014891 0	move to delta
8316044411 1	draw to epsilon
8320022901 1	draw to gamma 2
8319017591 1	draw to gamma 1
8318011281 1	draw to eta
8310014891 1	draw to delta
0000000000 2	end

; Octans

9350004501 0	move to theta
9488010531 1	draw to beta
9509038541 1	draw to delta
9478014831 1	draw to nu
9483011571 1	draw to epsilon
9488010531 1	draw to beta
0000000000 2	end

; Ophiuchus

6829005771 0	move to theta
6232013331 1	draw to eta
5632010421 1	draw to zeta
6203008061 1	draw to phi
5632010421 0	move to zeta
5042009991 1	draw to epsilon
0386020622 1	draw to lambda
5037010681 1	draw to delta
0386020622 0	move to lambda
0409019221 1	draw to sigma
6232013331 1	draw to eta
0409019221 0	move to sigma
0423017241 1	draw to beta
1000025081 1	draw to alpha
0979021981 1	draw to kappa
1000025081 0	move to alpha
0979021991 1	draw to iota
5678009561 0	move to nu
0420019621 1	draw to gamma
0423017241 1	draw to beta
0420019621 0	move to gamma
0434051981 1	draw to 67
0000000000 2	end

; Orion

0129018731 0	move to alpha
4771011881 1	draw to zeta
5351007601 1	draw to kappa
5331017521 1	draw to beta
4766024451 1	draw to delta
0113018561 1	draw to gamma
0705024011 1	draw to phi 1
0701020471 1	draw to phi 2
0129018731 1	draw to alpha
0000000000 2	end

; Pavo

8785018981 0	move to alpha
9112016051 1	draw to beta
9112016001 1	draw to upsilon
9315018931 1	draw to epsilon
9299023611 1	draw to zeta
9062036151 1	draw to eta
9068028231 1	draw to xi
9074022031 1	draw to lambda
9098019181 1	draw to delta
9112016051 1	draw to beta
9111014231 1	draw to gamma
0000000000 2	end

; Pegasus

1155021871 0	move to zeta
1125021861 1	draw to epsilon
0565019991 1	draw to theta
1155021871 1	draw to zeta
1155021861 1	draw to xi
1711024751 1	draw to alpha
1179017751 1	draw to gamma
1735031801 5	draw dotted to alpha And
2243018311 5	draw dotted to beta
1711024751 1	draw to alpha
2193020171 0	move to kappa
2208024711 1	draw to iota
2221016661 1	draw to lambda
2225018211 1	draw to mu
2243018311 1	draw to beta
2736018231 1	draw to eta
2724023541 1	draw to pi
0000000000 2	end

; Perseus

2359012581 0	move to omicron
2361028201 1	draw to zeta
2369022731 1	draw to xi
2868016231 1	draw to epsilon
2871025731 1	draw to nu
3317030341 1	draw to delta
3320028081 1	draw to alpha
3701013931 1	draw to gamma
3704013321 1	draw to eta
