/Constellations/ConstellationFigures/dhmenz11/DHMENZEL.TXT
//0 3199035911	3199035911 0        move to 1
1 8584	3628031931 1        draw to alpha
0 3730	1955019041 0        move to kappa
1 3772	1959015821 1        draw to lambda
1 3872	1960015501 1        draw to epsilon
1 3904	1964014731 1        draw to mu
1 3730	1955019041 1        draw to kappa
0 3904	1964014731 0        move to mu
1 4030	1969012611 1        draw to zeta
1 4056	1423013491 1        draw to gamma 1
1 3974	1412016951 1        draw to eta
1 3981	0833013811 1        draw to alpha
0 3851	0821021301 0        move to omicron
1 3974	1412016951 1        draw to eta
1 4358	1437028471 1        draw to theta
1 4356	1439024791 1        draw to delta
1 4533	0870009881 1        draw to beta
0 4358	1437028471 0        move to theta
1 4398	0858012211 1        draw to iota
1 4385	0270011481 1        draw to sigma
0 4358	1437028471 0        move to theta
1 4132	0838014851 1        move to rho
0 4056	1423013491 0        move to gamma 1
//1 1436013061	1436013061 1        draw to 60
1 4356	1439024791 1        draw to delta
0 3974	1412016951 0        move to eta
1 3872	1960015501 1        draw to epsilon
//0 2521022711	2521022711 0        move to 46
1 4099	2517012091 1        draw to beta
//1 2509013431	2509013431 1        draw to 21
//1 2521022711	2521022711 1        draw to 46
0 1704	5338014471 0        move to kappa
1 1701	5902017211 1        draw to mu
1 1653	5913013741 1        draw to epsilon
1 1828	5928016571 1        draw to beta
1 1864	5920016851 1        draw to alpha
1 1701	5902017211 1        draw to mu
1 1755	5343015291 1        draw to lambda
0 1864	5920016851 0        move to alpha
1 1997	5359017781 1        draw to zeta
1 2084	5360013701 1        draw to eta
1 2034	5930021951 1        draw to delta
1 1982	5930021971 1        draw to gamma
1 1828	5928016571 1        draw to beta
0 5811	6789018001 0        move to tau
1 5793	6776015901 1        draw to upsilon
1 5786	5608013811 1        draw to gamma
1 5529	6155012101 1        draw to alpha 2
1 5602	6752014551 1        draw to sigma
0 5786	5608013811 0        move to gamma
1 5684	5585010141 1        draw to beta
1 5529	6155012101 1        draw to alpha 2
0 5882	7332025121 0        move to chi
1 5704	7325016911 1        draw to phi 1
1 5947	7851018141 1        draw to eta
1 5986	7342013151 1        draw to theta
0 5704	7325016911 0        move to phi 1
1 5775	7840014321 1        draw to gamma
1 5796	7844001981 1        draw to omega
0 5704	7325016911 0        move to phi 1
1 5694	7839028031 1        draw to delta
1 5625	8293038771 1        draw to lambda
